job_title,company,company_description,published_at,salary,location
Product Owner,Mind Source,"Somos uma Equipa especializada em Projectos de Consultoria e Outsourcing, Processos de Negócio e em Tecnologia. Investimos diariamente para sermos uma das melhores empresas para trabalhar, tendo sido distinguidos no ranking do Great Place to Work com o 3º lugar na categoria das empresas com 100 a 250 colaboradores. Destacamo-nos pelas práticas de gestão positiva do nosso Talento e pelo elevado grau de compromisso sentido pela nossa Equipa. É por tudo isto que as pessoas escolhem a Mind Source para trabalhar!    Temos Projectos aliciantes à tua espera em Portugal, em várias capitais europeias e no Brasil onde já estamos a desenvolver soluções criativas com base nas tecnologias mais inovadoras do mercado.    Queres saber mais sobre como ambicionamos mudar o mundo?    Segue-nos em www.mindsource.pt",2024-11-07 20:14:42,,['Porto']
Outsystems Developer - Senior,CodeWin,All in the right place,2024-11-07 20:14:37,,['Lisboa']
Programador .NET Sénior,Integer Consulting,"A Integer Consulting é uma empresa portuguesa de consultoria em tecnologias de informação. Somos especialistas em serviços de IT outsourcing, software, projetos de nearshore e desenvolvimento à medida. Somos parceiros dos principais players tecnológicos a nível mundial e trabalhamos com empresas nacionais e multinacionais de diversos setores de atividade. A maioria dos projetos em que participamos são em Portugal, no Brasil e um pouco por toda a Europa. O que nos diferencia é o talento tecnológico e a experiência das pessoas que fazem parte da equipa e que integram os nossos projetos.",2024-11-07 20:14:28,,['Lisboa']
Salesforce developer,KCS IT,"A KCS IT é uma empresa de consultoria, outsourcing e formação, especializada em serviços de gestão de projectos profissionalizada alinhados com as metodologias e melhores práticas do PMI.",2024-11-07 20:14:24,,['Porto']
Customer Success Engineer – Networks & Access,Nonius,"Nonius provides the most complete Guest Technology solutions portfolio for a contactless Digital Guest Journey. All solutions are built in-house allowing highly integrated and competitive offers.     Our technology solutions serve more than 536,420 rooms worldwide – in Hotels of the most renowned international chains and several of the most emblematic and recognized independent hotels.     We also bring hospitality technology to other markets such as Outdoor, Apartments, Co-living, Healthcare, Maritime and other Sport and Leisure facilities.​",2024-11-07 20:14:19,,['Porto']
Senior PHP Developer,Devoteam,"At Devoteam, we believe that technology with strong human values can actively drive change for the better. Discover how Tech for People unlocks the future, creating a positive impact on the people and the world around us. We are a global leading player in Digital Transformation for leading organizations across EMEA, with a revenue of €1B. We believe in transforming technology to create value for our clients, partners and employees in a world where technology is developed for people. We are proud of the culture we have built together. We are proud of our people at the service of technology. We are proud of our diverse environment. Because we are #TechforPeople. Join our multidisciplinary team of Cloud experts, Designers, Business consultants, Security experts, Engineers, Developers and other extraordinary talents, spread across more than 20 EMEA countries. Become one of our +10.000 tech and business leaders on cloud, data and cyber security. Let’s fuse creativity with technology together and build innovative solutions that actively change things for the better.",2024-11-07 20:14:12,,['N/A']
.Net Developer,Adentis,"Com mais de 5 anos de existência a nível nacional, contamos com mais de 200 colaboradores com o nosso ADN e posicionamo-nos no mercado com 3 ofertas de serviço:  •	Strategy (Outsourcing, NeXel, Team as a Service, Tech Academies);  •	R&D (Estágios, POC, Laboratório Tecnológico);  •	Nearshore.    Na ADENTIS centramo-nos nas PESSOAS e é este o nosso salário emocional:  •	Equilíbrio entre a vida profissional e pessoal;  •	Flexibilidade na rotina organizacional;  •	Benefícios de saúde para colaboradores e familiares;  •	Eventos Team Building;  •	Protocolo com mais de 300 parceiros;  •	Formação contínua através de um centro profissional de formação e certificação;  •	Acompanhamento e feedback contínuo através de um plano personalizado;  •	Progressão de carreira através de avaliações objetivas e diretas.",2024-11-07 20:14:07,,['Lisboa']
SAP Authorization Consultant,akapeople,"Somos uma empresa de consultoria de recursos humanos, fundada por profissionais com uma sólida experiência no setor. A nossa ambição é criar um novo paradigma de serviços no mercado de Tecnologias de Informação e de Engenharia.     A AkaPeople não se limita a fazer a mudança acontecer. O seu código genético combina valores e atitudes que lhe conferem uma personalidade única e promissora.    aka (also known as), porque pretende tornar-se também conhecida por: excelência sem medida, na superação de barreiras.    people, porque se trata de uma empresa de pessoas, que sabem encontrar, interpretar, atrair, selecionar e potenciar talento, de pessoas para pessoas, conferindo-lhe o sobrenome, a identidade e o significado central.    No seu ADN, a AkaPeople incorpora a diversidade do talento da equipa que lhe dá vida: a garra, a energia e a criatividade, que traz novas formas de pensar, lapidada pela experiência, confiança e ponderação dos seus mentores, que detendo um vasto know-how e networking, dão asas a um novo fazer.",2024-11-07 20:14:02,,['Braga']
Software Engineer – Fullstack .NET and Angular,GRiT Solutions,"Tech Passionate People, with Purpose.    GRiT® is a new authentic player at IT Consultancy, offering tangible solutions envisioned upon workable technologies.     Born in Portugal to help companies all over Europe on achieving their digital and business evolution goals.    We provide IT Consulting and Nearshoring services on two collaboration models: Time & Materials and Team as a Service.    Powered by passion and perseverance, we strive for positive impact, delivering solutions while building strong long-term relations.    People. Technology. Innovation.  All-around it.",2024-11-07 20:13:55,,"['Porto', 'Lisboa']"
Administrador de sistemas,Randstad Portugal,"Somos um parceiro de excelência de clientes e candidatos.  Porque é a interacção entre as pessoas que contribui para o desenvolvimento das empresas, para o seu sucesso e insucesso. E é aqui que nós actuamos com soluções, com expertise e com uma oferta que vai muito além da colocação de pessoas.  Acrescentamos valor, conhecemos e reconhecemos os nossos clientes e candidatos e com ambos  vamos contribuindo para o desenvolvimento do nosso país e do mundo do trabalho.",2024-11-07 20:13:50,,['Lisboa']
